id,Target
1,9.670445
2,13.134018
3,5.606561
4,11.935665
5,9.927231
6,10.58677
7,9.898566
8,7.7211633
9,9.650144
10,9.694247
11,11.047491
12,6.9887376
13,10.531038
14,8.925072
15,13.493504
16,11.082796
17,13.14711
18,5.7711444
19,10.667816
20,10.900647
21,7.488893
22,9.884569
23,9.967283
24,8.627732
25,13.065478
26,6.2637486
27,11.108095
28,13.758636
29,14.655792
30,10.461189
31,7.059932
32,10.233828
33,6.2930627
34,11.194183
35,10.538603
36,6.875975
37,10.139765
38,10.562681
39,10.897604
40,9.2695465
41,11.02883
42,7.9722285
43,8.568065
44,10.734005
45,6.0447173
46,8.81422
47,7.9755044
48,11.081235
49,10.091719
50,7.468328
51,10.100012
52,8.766154
53,10.576746
54,10.240219
55,8.588297
56,9.762428
57,10.609634
58,10.200584
59,9.588175
60,6.1584272
61,11.269208
62,15.413359
63,6.1519384
64,16.409904
65,15.902027
66,10.196571
67,9.444725
68,8.216485
69,11.633127
70,7.6704125
71,9.574843
72,9.521835
73,6.870711
74,7.5596085
75,9.383742
76,6.386556
77,16.50384
78,9.655407
79,9.562397
80,8.489394
81,10.633488
82,11.55286
83,10.138028
84,6.083755
85,8.722773
86,6.3520103
87,9.751104
88,6.7977767
89,7.557966
90,10.928518
91,11.455323
92,9.336318
93,10.211717
94,14.9049635
95,10.039009
96,10.22038
97,10.049774
98,10.6936455
99,9.130536
100,12.384376
101,11.186953
102,9.427961
103,11.631987
104,10.356698
105,11.150767
106,7.1398587
107,10.836435
108,7.3145795
109,9.008095
110,10.197299
111,9.525197
112,10.638519
113,18.744308
114,8.405991
115,7.482023
116,11.980941
117,9.331102
118,8.521225
119,7.723803
120,11.400066
121,7.89323
122,11.544617
123,10.5151615
124,6.5182357
125,6.3963666
126,10.588791
127,11.061981
128,13.217684
129,11.6279125
130,12.563964
131,6.5048556
132,7.87473
133,5.724895
134,8.160524
135,10.004863
136,16.948856
137,9.569171
138,8.952956
139,6.7315273
140,9.712423
141,9.949195
142,6.409168
143,10.539651
144,11.057632
145,10.269969
146,9.454761
147,13.394623
148,10.6108465
149,4.0500946
150,9.784588
151,11.399901
152,6.510343
153,6.4497123
154,11.245526
155,10.900689
156,6.411573
157,11.285253
158,10.629261
159,8.465528
160,9.649474
161,13.243025
162,5.997935
163,10.954471
164,13.081694
165,10.159679
166,6.1428986
167,6.3406096
168,11.924672
169,8.790865
170,13.746971
171,5.798675
172,9.955347
173,10.789505
174,12.697046
175,6.246948
176,9.778419
177,6.840004
178,12.168127
179,11.784935
180,10.868589
181,8.137037
182,9.081531
183,9.539182
184,10.473774
185,9.087569
186,10.671528
187,7.05924
188,9.830168
189,10.055979
190,10.848879
191,9.214469
192,13.490842
193,7.566875
194,6.3929768
195,10.770998
196,7.6376853
197,9.930736
198,7.371827
199,11.073046
200,7.853538
201,8.510413
202,10.177392
203,10.692291
204,6.5790377
205,8.77089
206,7.5793014
207,9.624793
208,8.423301
209,19.08092
210,7.9639454
211,9.872261
212,6.9212565
213,12.9959135
214,10.288451
215,8.378492
216,9.04823
217,9.318539
218,11.4553585
219,6.4435844
220,8.233687
221,5.659261
222,14.08205
223,13.316608
224,6.769299
225,10.589097
226,5.9812303
227,11.133027
228,8.218312
229,8.654431
230,9.665118
231,10.253538
232,6.9410686
233,7.1297307
234,10.267329
235,12.358694
236,5.7559657
237,9.086775
238,9.908775
239,9.993151
240,14.807159
241,9.3544235
242,11.583653
243,7.693499
244,5.451344
245,12.8553505
246,15.497388
247,11.507919
248,9.376287
249,6.929362
250,10.481617
251,9.886586
252,7.4281945
253,7.683466
254,11.548171
255,10.504423
256,6.6594834
257,9.51351
258,10.662439
259,6.8292212
260,7.258557
261,11.408802
262,14.077467
263,14.594106
264,10.470285
265,4.035174
266,10.017412
267,11.396011
268,6.569986
269,6.9501457
270,11.613434
271,11.164897
272,7.7435584
273,11.291699
274,12.150807
275,8.236261
276,16.883825
277,11.348835
278,14.013964
279,9.033149
280,11.88752
281,5.132717
282,9.036421
283,5.5851526
284,8.06714
285,11.073254
286,9.533201
287,10.804089
288,10.15509
289,9.2665
290,6.4613585
291,9.403113
292,6.648065
293,9.945691
294,8.686385
295,12.918106
296,6.5745573
297,9.984356
298,9.995346
299,9.77807
300,8.070972
301,7.1945214
302,7.2111535
303,10.132306
304,12.612027
305,10.1197815
306,12.792589
307,9.369134
308,8.266202
309,6.113973
310,8.880704
311,11.060947
312,15.258217
313,8.50112
314,8.77551
315,11.22477
316,9.035151
317,9.968805
318,7.640208
319,7.7523246
320,7.6223426
321,10.694521
322,5.9432297
323,9.579657
324,5.438211
325,8.446528
326,10.821046
327,9.259827
328,11.775177
329,10.209444
330,10.057894
331,10.849729
332,9.621836
333,8.733479
334,7.6678557
335,10.888553
336,8.266426
337,8.430256
338,9.547852
339,9.252189
340,17.500076
341,10.298083
342,8.6202135
343,11.711352
344,8.447417
345,5.7913985
346,11.833807
347,11.81702
348,13.721474
349,11.422837
350,10.991068
351,7.897159
352,10.797325
353,11.02676
354,11.268081
355,9.711811
356,6.792867
357,7.2493434
358,8.7799225
359,11.1839905
360,17.31958
361,11.401835
362,9.786872
363,8.311188
364,8.301221
365,10.980554
366,20.804375
367,7.264129
368,9.59099
369,8.909067
370,11.291758
371,8.692588
372,8.331427
373,10.267067
374,9.949817
375,9.490934
376,8.139161
377,8.416831
378,6.0930066
379,8.756274
380,11.263892
381,9.685102
382,8.253571
383,11.08979
384,9.562361
385,7.667314
386,10.027687
387,14.814628
388,9.396587
389,17.12629
390,9.616141
391,10.266854
392,11.691843
393,9.3462105
394,9.01749
395,10.8301735
396,7.311795
397,7.998502
398,12.668676
399,7.338781
400,16.70887
401,17.667673
402,8.18071
403,7.6850085
404,7.7201853
405,13.966678
406,9.889025
407,9.560453
408,10.051136
409,10.576697
410,10.157021
411,7.8224354
412,7.6742964
413,9.368954
414,7.602794
415,9.469786
416,10.286945
417,9.150967
418,4.4185195
419,11.570468
420,8.162875
421,11.137957
422,8.695305
423,6.357637
424,8.924482
425,10.769113
426,15.845268
427,10.093567
428,10.309081
429,11.831052
430,10.309904
431,10.111503
432,7.172646
433,7.688739
434,19.078669
435,13.162827
436,11.55656
437,8.671434
438,8.979336
439,11.854841
440,10.540894
441,8.975081
442,8.24121
443,9.556568
444,11.686119
445,12.279534
446,5.082314
447,9.592531
448,11.048978
449,9.703395
450,16.740152
451,10.193354
452,10.00558
453,11.000299
454,9.594841
455,10.295856
456,6.646491
457,10.173996
458,7.6723294
459,10.913448
460,9.222557
461,10.80216
462,9.438172
463,7.8186088
464,6.433062
465,9.461466
466,8.831575
467,9.737416
468,6.795017
469,10.639056
470,5.975159
471,10.77866
472,10.235603
473,8.864467
474,10.895779
475,11.163052
